prefix,k,support,dH,pred_next
3-13-1,3,22,0.431046,13
13-3-14,3,22,0.425487,15
13-5-10,3,21,1.159400,5
1-1-8,3,21,0.730657,1
12-6-12,3,21,0.730654,12
15-11-3,3,21,0.702928,11
11-4-7,3,21,0.679415,7
9-12-7,3,21,0.657527,7
14-0-5,3,21,0.619909,5
6-6-2,3,21,0.576419,6
15-12-9,3,21,0.538712,9
12-15-9,3,21,0.524826,15
5-9-2,3,21,0.499407,2
9-4-0,3,21,0.478616,0
0-4-9,3,21,0.477954,9
10-6-10,3,21,0.466987,6
1-9-5,3,21,0.447670,9
13-5-6,3,21,0.446834,13
13-3-2,3,20,1.464426,13
12-12-1,3,20,1.381905,12
3-0-5,3,20,0.921422,0
15-9-8,3,20,0.736308,9
11-2-1,3,20,0.725766,2
6-15-9,3,20,0.703910,6
4-15-0,3,20,0.687584,4
14-14-4,3,20,0.650114,4
13-3-10,3,20,0.635248,13
13-1-4,3,20,0.631359,1
11-1-7,3,20,0.567825,11
5-3-0,3,20,0.530116,0
7-11-0,3,20,0.517352,11
3-4-7,3,20,0.500545,7
2-15-14,3,20,0.482347,15
8-13-15,3,20,0.449095,13
7-4-11,3,20,0.436733,11
13-13-11-13,4,808,0.418778,13
13-13-9-13,4,789,0.417948,13
11-13-11-11,4,563,0.408770,11
9-15-9-9,4,549,0.486889,9
13-13-7-13,4,524,0.518189,13
7-7-9-7,4,343,0.474850,7
15-15-15-13,4,311,0.451003,15
11-11-11-9,4,310,0.480626,11
5-13-5-5,4,289,0.503162,5
13-13-3-13,4,267,0.433956,13
15-15-13-15,4,249,0.434744,15
15-13-15-15,4,233,0.427491,15
9-9-9-11,4,231,0.443739,9
0-0-0-13,4,225,0.468831,0
13-10-13-13,4,224,0.463594,13
7-13-7-7,4,219,0.479847,7
11-11-11-0,4,206,0.607601,11
4-13-4-4,4,202,0.427550,4
0-13-0-0,4,199,0.618511,0
11-11-7-11,4,199,0.484458,11
11-7-11-11,4,195,0.558456,11
13-13-13-6,4,194,0.432209,13
0-0-13-0,4,188,0.503555,0
